Prefix,Name,Price
A,"ALLEGRA 5 MG, Comprimé pelliculé",40.1
A,"ALLEGRA 5 MG, Comprimé pelliculé",70.5
A,"ALLERGINE 10 MG, Comprimé sécable",28
A,"ALLERGINE 10 MG, Comprimé sécable",42.3
A,"ALLERGINE 10 MG, Comprimé sécable",83.1
A,"ALLERGO-COMOD 20 MG / ML, Collyre",57.9
A,"ALLERGODIL 0.05 %, Collyre",76.6
A,"ALMANTIN 10 MG, Comprimé pelliculé sécable",150.2
A,"ALMANTIN 20 MG, Comprimé pelliculé sécable",236
A,"ALMIDE 0.1 %, Collyre",60.2
A,"ALORA 5 MG, Comprimé pelliculé",29
A,"ALORA 5 MG, Comprimé pelliculé",78.6
A,"ALORA 5 MG, Comprimé pelliculé",51.9
A,"ALOXIA 15 MG, Comprimé sécable",43.9
A,"ALOXIA 15 MG, Comprimé sécable",87.4
A,"ALOXIA 7.5 MG, Comprimé sécable",29
A,"ALOXIA 7.5 MG, Comprimé sécable",53.1
A,"ALPERIDE 100 MG, Comprimé [P]",90.7
A,"ALPERIDE 200 MG, Comprimé [P]",204
A,"ALPERIDE 400 MG, Comprimé [P]",295
A,"ALPERIDE 50 MG, Comprimé sécable [P]",59.5
A,"ALPHA-KADOL, Pommade",22.6
A,"ALPHACHYMOTRIPSINE, Pommade",16.1
A,"ALPHAGAN 0.2 %, Collyre",91.5
A,"ALPRAZ 0.5 MG, Comprimé [P] [TAB IV-CV]",35.7
A,"ALPRAZ 1 MG, Comprimé [P] [TAB IV-CV]",35.7
A,"ALPRAZOLAM WIN 0.5 MG, Comprimé sécable [P] [TAB IV-CV]",31
A,"ALTEC 10 MG, Gélule",80
A,"ALTEC 2.5 MG, Gélule",36.9
A,"ALTEC 5 MG, Gélule",46.4
A,"ALTIAZEM 60 MG, Comprimé",89
A,"ALVITYL 11 VITAMINES, Suspension",98
A,"ALVITYL APPÉTIT, Sirop",79.5
A,"ALVITYL PETIT BOOST, Fiole de 10 ML",99
A,"ALVITYL TONUS, Comprimé effervescent",100
A,"ALVITYL VITALITÉ, Comprimé effervescent",43
A,"ALVITYL VITALITÉ, Comprimé effervescent",73
A,"ALVITYL, Comprimé",110
A,"ALVITYL, Sirop",98
A,"ALYSE 150 MG, Gélule [P]",340
A,"ALYSE 25 MG, Gélule [P]",136.5
A,"ALYSE 300 MG, Gélule [P]",481
A,"ALYSE 75 MG, Gélule [P]",255
A,"ALYVIR RANBAXY 500 MG, Comprimé",119.4
A,"ALZOLE 20 MG, Gélule",25
A,"ALZOLE 20 MG, Gélule",45
A,"ALZOLE 20 MG, Gélule",85
A,"AM-10 10 MG, Comprimé",55.6
A,"AM-10 10 MG, Comprimé",77.3
A,"AM-5 5 MG, Comprimé",43.7
A,"AMAREL 1 MG, Comprimé",51.1
A,"AMAREL 1 MG, Comprimé (Retiré du marché)",92.5
A,"AMAREL 2 MG, Comprimé",60.4
A,"AMAREL 2 MG, Comprimé (Retiré du marché)",115.7
A,"AMAREL 3 MG, Comprimé",92.1
A,"AMAREL 3 MG, Comprimé (Retiré du marché)",166.9
A,"AMAREL 4 MG, Comprimé",68.8
A,"AMAREL 4 MG, Comprimé (Retiré du marché)",156.7
A,"AMCARD 10 MG, Comprimé",22.1
A,"AMCARD 10 MG, Comprimé",38.9
A,"AMCARD 10 MG, Comprimé",75.2
A,"AMCARD 5 MG, Comprimé",14.5
A,"AMCARD 5 MG, Comprimé",25
A,"AMCARD 5 MG, Comprimé",49.4
A,"AMEP 10 MG, Comprimé",38.9
A,"AMEP 10 MG, Comprimé",75.2
A,"AMEP 10 MG, Comprimé",148.6
A,"AMEP 5 MG, Comprimé",25.6
A,"AMEP 5 MG, Comprimé",49.4
A,"AMEP 5 MG, Comprimé",97.7
A,"AMGEVITA 40 MG, Solution injectable",7763
A,"AMGEVITA 40 MG, Solution injectable",6290
A,"AMIAN 100 MG, Comprimé [P]",90.7
A,"AMIAN 200 MG, Comprimé [P]",204
A,"AMIAN 400 MG, Comprimé [P]",295
A,"AMIAN 50 MG, Comprimé [P]",59.5
A,"AMIFLOX 2 MG, Solution pour perfusion",143
A,"AMIKACINE MYLAN 250 MG, Poudre solvant pour solution injectable",601
A,"AMIKACINE MYLAN 500 MG, Poudre solvant pour Solution injectable",70
A,"AMIKACINE MYLAN 500 MG, Poudre solvant pour Solution injectable",999
A,"AMIODARONE AGUETTANT 50 MG / ML, Solution injectable (Retiré du marché)",76.2
A,"AMIPRIM 100 MG, Comprimé sécable [P]",90.7
A,"AMIPRIM 200 MG, Comprimé sécable [P]",204
A,"AMIPRIM 50 MG, Comprimé sécable [P]",59.5
A,"AMLODIPINE GT 10 MG, Comprimé sécable",76
A,"AMLODIPINE GT 5 MG, Comprimé sécable",43
A,"AMLODIPINE WIN 10 MG, Comprimé",64
A,"AMLODIPINE WIN 10 MG, Comprimé (Retiré du marché)",33.6
A,"AMLODIPINE WIN 5 MG, Comprimé",36.2
A,"AMLOR 10 MG, Comprimé",98.9
A,"AMLOR 5 MG, Comprimé",136.6
A,"AMLOR 5 MG, Comprimé",89.2
A,"AMLOR PLUS 10 MG / 10 MG, Comprimé",246
A,"AMLOR PLUS 5 MG | 10 MG, Comprimé",246
A,"AMOVAS 10 MG, Comprimé",31.6
A,"AMOVAS 5 MG, Comprimé",25.6
A,"AMOVAS 5 MG, Comprimé",49.4
A,"AMOVAS 5 MG, Comprimé",97.7
A,"AMOXICILLINE SP 1 G, Comprimé dispersible",55
A,"AMOXICILLINE SP 250 MG / 5 ML, Poudre pour suspension buvable",24.4
A,"AMOXICILLINE SP 500 MG, Comprimé dispersible",60.9
A,"AMOXIL 1 G, Comprimé dispersible",55
A,"AMOXIL 1 G, Comprimé dispersible",103.6
A,"AMOXIL 125 MG, Poudre pour sirop (Retiré du marché)",25.4
A,"AMOXIL 250 MG, Poudre pour sirop",28.9
A,"AMOXIL 250 MG, Poudre pour sirop (Retiré du marché)",45
A,"AMOXIL 500 MG, Comprimé dispersible",34.6
A,"AMOXIL 500 MG, Comprimé dispersible",65.4
A,"AMOXIL 500 MG, Poudre pour sirop",33.4
A,"AMOXIL 500 MG, Poudre pour sirop (Retiré du marché)",65
A,"AMPICILLINE LLORENTE 250 MG, Poudre pour suspention buvable (Retiré du marché)",24.5
A,"AMPICILLINE LLORENTE 500 MG, Poudre injectable (Retiré du marché)",9.9
A,"AMYKON 1 % , Crème",34
A,"AMYLASE RIM 200 U CEIP / ML, Sirop",40
A,"ANAFRANIL 25 MG, Dragée [P]",47.9
A,"ANAFRANIL 25 ML, Ampoule injectable [P]",72.9
A,"ANAFRANIL RETARD 75 MG, Dragée [P]",93
A,"ANALGYL 200 MG, Dragée",17.9
A,"ANAPRED 20 MG, Comprimé orodispersible",40.9
A,"ANAPRED 20 MG, Comprimé orodispersible",57.1
A,"ANASTROZOLE COOPER 1 MG, Comprimé pelliculé",589
A,"ANASTROZOLE ZENITH 1 MG, Comprimé pelliculé",222
A,"ANASTROZOLE ZENITH 1 MG, Comprimé pelliculé",441
A,"ANCINE 50  MG, Comprimé pelliculé",36
A,"ANCINE 50 MG, Comprimé",64
A,"ANCINE PLUS 100 MG / 25 MG, Comprimé pelliculé",59.9
A,"ANCINE PLUS 100 MG / 25 MG, Comprimé pelliculé",105.4
A,"ANCINE PLUS 50 MG / 12.5 MG, Comprimé pelliculé",64.2
A,"ANCINE PLUS 50 MG / 12.5 MG, Comprimé pelliculé",36.5
A,"ANDOL 10 MG / ML, Solution pour perfusion en poche",30.1
A,"ANDOL 1000 MG, Comprimé effervescent",14.5
A,"ANDOL 3 %, Solution buvable",17.5
A,"ANDOL 500 MG, Comprimé",10
A,"ANDOL 500 MG, Comprimé effervescent",14
A,"ANDOL C 500 MG / 300 MG, Comprimé effervescent",16
A,"ANDROCUR 50 MG, Comprimé",194.3
A,"ANDROTARDYL 250 MG / ML, Soluté injectable",37.4
A,"ANGINIB 100 MG, Comprimé pelliculé",148
A,"ANGINIB 50 MG, Comprimé",80
A,"ANGINIB 50 MG, Comprimé",45
A,"ANGINIB 50 MG, Comprimé pelliculé",140
A,"ANGIODROP, Solution ophtalmique",74
A,"ANGLOR 10 MG, Comprimé",77
A,"ANGLOR 5 MG, Comprimé",43
A,"ANOR 70 MG, Comprimé",176
A,"ANOR 70 MG, Comprimé",427
A,"ANOVEL, Comprimé enrobé",22.7
A,"ANSTROZOLE GT 1 MG, Comprimé pelliculé",263
A,"ANTAGON H2  200 MG,Solution Injectable",57.2
A,"ANTAGON H2 200 MG, Comprimé effervescent",40
A,"ANTAGON H2 400 MG, Comprimé",121.3
A,"ANTAGON H2 400 MG, Comprimé effervescent",128.2
A,"ANTI-HEMORROIDAIRE, Pommade",19.6
A,"ANTI-HEMORROÏDAIRE, Suppositoire",14.5
A,"ANTI-SPA 200 MG, Comprimé pelliculé",40
A,"ANTIBIO-SYNALAR, Goutte auriculaire",19.4
A,"ANTIMETIL, Comprimé",72.8
A,"ANTINAL 200 MG, Gélule",15.8
A,"ANTINAL 220 MG / 5 ML, Suspension buvable ( AMM suspendue)",21.2
A,"ANTINOREX 0.04 %, Sirop",14
A,"ANTINOREX 4 MG, Comprimé",17.1
A,"ANTITOXINE TÉTANIQUE BP 1500 UI, Solution injectable",29
A,"ANXIOL 6 MG, Comprimé sécable [P] [TAB IV-CV]",36.7
A,"ANZATAX 150 MG / 25 ML, Solution  pour perfusion",2476
A,"ANZATAX 30 MG / 5 ML, Solution  pour perfusion",619
A,"APADEX LP 1.5 MG, Comprimé",29.3
A,"APAZIDE 200 MG, Gélule",19.7
A,"APAZIDE 4 %, Suspension buvable (AMM suspendue)",23.2
A,"APCALIS 20 MG, Comprimé pelliculé",143.5
A,"APCALIS 20 MG, Comprimé pelliculé",277
A,"APENAT, Solution buvable arôme citron miel",84.5
A,"APETINE 4 MG, Comprimé",16.3
A,"APETINE 4 MG, Comprimé",43.5
A,"APETINE 40 MG, Solution buvable",13
A,"APIDRA 100 U / ML, Solution injectable (Retiré du marché)",98.4
A,"APIDRA 100 U / ML, Solution injectable (Retiré du marché)",366
A,"APIDRA SOLOSTAR 100 U / ML, Solution injectable",98.4
A,"APIDRA SOLOSTAR 100 U / ML, Solution injectable",439
A,"APIRETIL 100 MG / ML, Solution orale",28.4
A,"APIXOL, Solution buvable adulte",79
A,"APIXOL, Solution buvable enfant",79.5
A,"APIXOL, Spray gorge",89.5
A,"APLEVAX 5 MG, Comprimé",75.5
A,"APLEVAX 5 MG, Comprimé",28.6
A,"APOFER PLUS, Gélule",90
A,"APOKINON 5 MG / ML, Solution injectable [P]",1478
A,"APOTEL 100 MG / ML, Solution pour perfusion",29
A,"APROVASC 150 MG / 10 MG, Comprimé pelliculé",179.5
A,"APROVASC 150 MG / 5MG, Comprimé pelliculé",155.8
A,"APROVASC 300 MG / 10 MG, Comprimé pelliculé",209
A,"APROVASC 300 MG / 5 MG, Comprimé pelliculé",185.6
A,"APROVEL 150 MG, Comprimé",158.3
A,"APROVEL 150 MG, Comprimé (Retiré du marché)",87.1
A,"APROVEL 300 MG, Comprimé",218
A,"APROVEL 300 MG, Comprimé (Retiré du marché)",119.9
A,"APTA JUNIOR 3 AGE, Lait",72.85
A,"APTAMIL 1ER AGE, Lait",76
A,"APTAMIL 2EME AGE, Lait",74
A,"APTAMIL AR 1ER AGE, Lait",80
A,"APTAMIL AR 2EME, Lait",78
A,"APTAMIL HA 1ER AGE, Lait",78
A,"APTAMIL HA 2EME, Lait",82
A,"APTAMIL PEPTI-JUNIOR, Lait",150
A,"APYROL, Soluté buvable à 3%",16.6
A,"AQUINEX 400 MG, Comprimé pelliculé",139.5
A,"AQUINEX 400 MG, Comprimé pelliculé",245
A,"AQUINEX 400 MG, Comprimé pelliculé",195.2
A,"ARACTINE 0.04 %, Sirop",13.4
A,"ARACTINE 4 MG, Comprimé",17.3
A,"ARACYTINE 1 G, Ampoule injectable",321
A,"ARACYTINE 100 MG, Ampoule injectable",51.4
A,"ARACYTINE 500 MG, Ampoule injectable",232
A,"ARADOS 100 MG, Comprimé pelliculé",148
A,"ARADOS 50 MG, Comprimé pelliculé",84.7
A,"ARANESP 100 µg , Solution injectable",6404
A,"ARANESP 150 µg, Solution injectable",9407
A,"ARANESP 20 µg, Solution injectable",1500
A,"ARANESP 30 µg, Solution injectable",2201
A,"ARANESP 40 µg , Solution injectable",2801
A,"ARANESP 50 µg, Solution injectable",3402
A,"ARANESP 60 µg, Solution injectable",4002
A,"ARANESP 80 µg, Solution injectable",5203
A,"ARAPRO 150 MG, Comprimé pelliculé",50
A,"ARAPRO 150 MG, Comprimé pelliculé",129
A,"ARAPRO 300 MG, Comprimé pelliculé",60
A,"ARAPRO 300 MG, Comprimé pelliculé",164
A,"ARATENS 100 MG, Comprimé pélliculé",132.7
A,"ARATENS 50 MG, Comprimé pélliculé",63.8
A,"ARAVA 100 MG, Comprimé enrobé (Retiré du marché)",365
A,"ARAVA 20 MG, Comprimé pelliculé",721
A,"ARCALION 200 MG, Comprimé enrobé",47.7
A,"ARCOXIA 120 MG, Comprimé pelliculé",134.5
A,"ARCOXIA 60 MG, Comprimé pelliculé",117.8
A,"ARCOXIA 60 MG, Comprimé pelliculé",221
A,"ARCOXIA 90 MG, Comprimé pelliculé",133
A,"ARCOXIA 90 MG, Comprimé pelliculé",268
A,"ARES 250 MG, Comprimé",33.6
A,"ARES 250 MG, Comprimé",63.5
A,"ARES 500 MG, Comprimé",67.5
A,"ARES 500 MG, Comprimé",127.8
A,"ARGENT COLLOIDAL 5 %, Pommade dermique",13.8
A,"ARGININE VEYRON, Solution buvable en ampoule",33.9
A,"ARGININE VEYRON, Solution buvable en flacon",38.3
A,"ARGININE VEYRON, Solution buvable en flacon",62.7
A,"ARGO, Suspension buvable",30.5
A,"ARICEPT 10 MG, Comprimé",589
A,"ARICEPT 5 MG, Comprimé",402
A,"ARIMIDEX 1 MG, Comprimé pelliculé",790
A,"ARIPIPHI 10 MG, Comprimé [P]",208
A,"ARIPIPHI 10 MG, Comprimé [P]",350
A,"ARIPIPHI 15 MG, Comprimé [P]",235
A,"ARIPIPHI 15 MG, Comprimé [P]",400
A,"ARIPIPHI 30 MG, Comprimé [P]",551
A,"ARIPIPHI 5 MG, Comprimé [P]",115
A,"ARIPIPHI 5 MG, Comprimé [P]",205
A,"ARIXTRA 2.5 MG / 0.5 ML, Injectable en seringue pré-remplie",173.9
A,"ARIXTRA 2.5 MG / 0.5 ML, Injectable en seringue pré-remplie",703
A,"ARIXTRA 7.5 MG / 0.6 ML, Injectable en seringue pré-remplie",398
A,"ARIXTRA 7.5 MG / 0.6 ML, Injectable en seringue pré-remplie",1468
A,"ARNIGEL, Gel",45
A,"AROMASINE 25 MG, Comprimé pelliculé",797
A,"ART 50 MG, Gélule",157.2
A,"ARTANE 5 MG, Comprimé [P]",13.3
A,"ARTELAC, Collyre",28.8
A,"ARTEMON 10 MG / 10 MG, Comprimé",211
A,"ARTEMON 10 MG / 5 MG, Comprimé",206
A,"ARTEMON 5 MG / 10 MG, Comprimé",159.9
A,"ARTEMON 5 MG / 5 MG, Comprimé",154.7
A,"ARTHRODONT, Pâte gingivale",20.2
A,"ARTIFLEX, Gélule",89
A,"ARTINIBSA 40 MG / ML + 0.01 MG, Solution injectable en cartouche",334
A,"ARTROVIAL, Seringue pour injection intra-articulaire",295
A,"ARTROVIAL, Seringue pour injection intra-articulaire",840
A,"ARTYX 15 MG, Comprimé",43.7
A,"ARTYX 15 MG, Comprimé",87.4
A,"ARTYX 7.5 MG, Comprimé",29
A,"ARTYX 7.5 MG, Comprimé",53.1
A,"ARULATAN 50 µG, Collyre en solution",94.3
A,"ASCABIOL 10 G / 2 G, Lotion",18.2
A,"ASCAL 100, Sachet",14.3
A,"ASKARDIL 160 MG, Comprimé dispersible",23.8
A,"ASKARDIL 75 MG, Comprimé dispersible",22.4
A,"ASPEGIC 500 MG / 5 ML, Poudre injectable",57
A,"ASPEGIC 500 MG, Poudre en Sachet",18
A,"ASPEGIC 500 MG, Poudre en Sachet",27.2
A,"ASPEGIC AD 1000 MG / 5 ML, Poudre injectable",81.6
A,"ASPEGIC AD 1000 MG, Poudre en sachet",30.8
A,"ASPEGIC AD 1000 MG, Poudre en sachet",61.1
A,"ASPEGIC ENF 250 MG, Poudre en sachet",21.7
A,"ASPEGIC NOUR 100 MG, Poudre en sachet",21.8
A,"ASPIRINE VITAMINEE B1C DEROL , Comprimé",11.3
A,"ASPIRINE VITAMINEE B1C DEROL, Comprimé effervescent",17.8
A,"ASPIRINE VITAMINÉE TAMPONNÉE, Comprimé effervescent",11.5
A,"ASPIRINE VITAMINÉE TAMPONNÉE, Comprimé effervescent",20.5
A,"ASPRO 500 MG, Comprimé effervescent",5
A,"ASPRO 500 MG, Comprimé effervescent",17
A,"ASTAPH 1000 MG, Poudre et solvant pour solution injectable",19.9
A,"ASTAPH 125 MG / 5 ML, Poudre pour suspension buvable",29.6
A,"ASTAPH 125 MG / 5 ML, Poudre pour suspension buvable",20.9
A,"ASTAPH 250 MG / 5 ML, Poudre pour suspension buvable",60.2
A,"ASTAPH 250 MG / 5 ML, Poudre pour suspension buvable",40.3
A,"ASTAPH 250 MG, Poude et solvant pour solution injectable",9.2
